Taxon,Latitude,week
Ochlodes sylvanus,53.32081674,29
Ochlodes sylvanus,53.43802233,31
Ochlodes sylvanus,53.45599913,28
Ochlodes sylvanus,53.33778414,23
Ochlodes sylvanus,53.32076785,30
Ochlodes sylvanus,53.3366077,27
Ochlodes sylvanus,53.32855295,31
Ochlodes sylvanus,53.5981884,24
Ochlodes sylvanus,53.92149166,27
Ochlodes sylvanus,53.92149166,28
Ochlodes sylvanus,53.92149166,26
Ochlodes sylvanus,53.92149166,25
Ochlodes sylvanus,53.92149166,25
Ochlodes sylvanus,53.92149166,30
Ochlodes sylvanus,53.92149166,28
Ochlodes sylvanus,53.92149166,27
Ochlodes sylvanus,53.92149166,26
Ochlodes sylvanus,53.92149166,30
Ochlodes sylvanus,53.92149166,25
Ochlodes sylvanus,53.92149166,23
Ochlodes sylvanus,53.92149166,26
Ochlodes sylvanus,53.92149166,31
Ochlodes sylvanus,53.92149166,25
Ochlodes sylvanus,53.81759351,29
Ochlodes sylvanus,53.92149166,26
Ochlodes sylvanus,53.91800462,24
Ochlodes sylvanus,53.70110692,29
Ochlodes sylvanus,53.78713706,29
Ochlodes sylvanus,53.92149166,28
Ochlodes sylvanus,53.76875968,27
Ochlodes sylvanus,53.87963554,27
Ochlodes sylvanus,53.7691681,26
Ochlodes sylvanus,53.87963554,25
Ochlodes sylvanus,53.87082546,29
Ochlodes sylvanus,53.87963554,27
Ochlodes sylvanus,54.01592626,25
Ochlodes sylvanus,54.18223266,26
Ochlodes sylvanus,54.49059417,26
Ochlodes sylvanus,54.48160998,26
Ochlodes sylvanus,53.74863348,26
Ochlodes sylvanus,53.90636,29
Ochlodes sylvanus,53.78421858,26
Ochlodes sylvanus,53.96143351,29
Ochlodes sylvanus,53.92701017,31
Ochlodes sylvanus,53.84293558,28
Ochlodes sylvanus,54.59843945,26
Ochlodes sylvanus,54.04846505,30
Ochlodes sylvanus,53.32125371,29
Ochlodes sylvanus,53.62484753,26
Ochlodes sylvanus,53.8213799,27
Ochlodes sylvanus,53.78478521,27
Ochlodes sylvanus,54.12660763,27
Ochlodes sylvanus,53.8226678,26
Ochlodes sylvanus,53.8226678,25
Ochlodes sylvanus,53.49643326,29
Ochlodes sylvanus,53.40428742,29
Ochlodes sylvanus,53.33809984,27
Ochlodes sylvanus,54.23072192,26
Ochlodes sylvanus,53.59789606,26
Ochlodes sylvanus,54.22080594,25
Ochlodes sylvanus,53.36973196,29
Ochlodes sylvanus,54.28524994,30
Ochlodes sylvanus,54.07692949,26
Ochlodes sylvanus,53.73692022,35
Ochlodes sylvanus,53.73870008,26
Ochlodes sylvanus,53.58311867,22
Ochlodes sylvanus,53.73957224,26
Ochlodes sylvanus,53.73777477,26
Ochlodes sylvanus,54.00374067,28
Ochlodes sylvanus,54.00373158,28
Ochlodes sylvanus,54.00374067,24
Ochlodes sylvanus,54.00373158,24
Ochlodes sylvanus,53.74326378,26
Ochlodes sylvanus,53.74232143,26
Ochlodes sylvanus,53.74232143,28
Ochlodes sylvanus,53.74414513,28
Ochlodes sylvanus,54.19220588,34
Ochlodes sylvanus,54.19130229,29
Ochlodes sylvanus,54.19220588,26
Ochlodes sylvanus,54.19670432,26
Ochlodes sylvanus,54.19581526,26
Ochlodes sylvanus,54.11784574,28
Ochlodes sylvanus,54.11874448,28
Ochlodes sylvanus,54.11874827,28
Ochlodes sylvanus,54.12055327,28
Ochlodes sylvanus,54.1187558,27
Ochlodes sylvanus,54.11784193,27
Ochlodes sylvanus,54.11874827,26
Ochlodes sylvanus,54.11784954,25
Ochlodes sylvanus,54.11784193,26
Ochlodes sylvanus,54.12055327,32
Ochlodes sylvanus,54.12055327,30
Ochlodes sylvanus,54.11784574,28
Ochlodes sylvanus,54.11784193,28
Ochlodes sylvanus,54.11965078,28
Ochlodes sylvanus,54.12055327,28
Ochlodes sylvanus,54.11784954,25
Ochlodes sylvanus,54.11874448,25
Ochlodes sylvanus,53.58310967,28
Ochlodes sylvanus,54.11784574,32
Ochlodes sylvanus,54.1187558,29
Ochlodes sylvanus,54.11784954,29
Ochlodes sylvanus,54.11784574,29
Ochlodes sylvanus,54.11784193,29
Ochlodes sylvanus,54.1187558,28
Ochlodes sylvanus,54.11784954,28
Ochlodes sylvanus,54.11784574,28
Ochlodes sylvanus,54.11784193,28
Ochlodes sylvanus,54.11784193,28
Ochlodes sylvanus,54.11874448,28
Ochlodes sylvanus,54.11784954,28
Ochlodes sylvanus,54.11784574,28
Ochlodes sylvanus,54.11784193,28
Ochlodes sylvanus,54.11965078,28
Ochlodes sylvanus,54.11784954,26
Ochlodes sylvanus,54.11784193,26
Ochlodes sylvanus,54.11784193,26
Ochlodes sylvanus,54.16092553,30
Ochlodes sylvanus,54.0912005,29
Ochlodes sylvanus,54.0894152,27
Ochlodes sylvanus,54.0894152,25
Ochlodes sylvanus,54.0912005,25
Ochlodes sylvanus,54.54641091,26
Ochlodes sylvanus,54.56629622,29
Ochlodes sylvanus,54.56452674,29
Ochlodes sylvanus,54.56452674,28
Ochlodes sylvanus,54.56541612,26
Ochlodes sylvanus,54.56452674,25
Ochlodes sylvanus,54.56452674,24
Ochlodes sylvanus,54.56453595,24
Ochlodes sylvanus,54.37255095,25
Ochlodes sylvanus,54.37255095,25
Ochlodes sylvanus,54.37171954,27
Ochlodes sylvanus,54.37344942,27
Ochlodes sylvanus,54.37255095,27
Ochlodes sylvanus,54.37255095,29
Ochlodes sylvanus,54.37255095,30
Ochlodes sylvanus,54.07776912,29
Ochlodes sylvanus,54.07776867,29
Ochlodes sylvanus,54.07597162,29
Ochlodes sylvanus,54.07597162,29
Ochlodes sylvanus,54.07597162,26
Ochlodes sylvanus,54.16037711,27
Ochlodes sylvanus,54.16035654,27
Ochlodes sylvanus,54.15943756,27
Ochlodes sylvanus,54.15943756,27
Ochlodes sylvanus,54.16033594,27
Ochlodes sylvanus,54.16129606,24
Ochlodes sylvanus,54.16037711,24
Ochlodes sylvanus,54.16035654,24
Ochlodes sylvanus,54.15943756,24
Ochlodes sylvanus,54.16037711,24
Ochlodes sylvanus,54.16035654,24
Ochlodes sylvanus,54.15943756,24
Ochlodes sylvanus,54.16033594,24
Ochlodes sylvanus,54.1613166,24
Ochlodes sylvanus,54.00374067,24
Ochlodes sylvanus,54.00373158,24
Ochlodes sylvanus,54.63139422,27
Ochlodes sylvanus,54.63140452,19
Ochlodes sylvanus,54.58881672,27
Ochlodes sylvanus,54.58882588,26
Ochlodes sylvanus,54.59151254,26
Ochlodes sylvanus,54.58881672,24
Ochlodes sylvanus,54.59062309,24
Ochlodes sylvanus,54.03495198,31
Ochlodes sylvanus,54.27655644,26
Ochlodes sylvanus,54.00733545,28
Ochlodes sylvanus,54.00733545,28
Ochlodes sylvanus,54.00733545,24
Ochlodes sylvanus,54.00733545,24
Ochlodes sylvanus,54.25940923,26
Ochlodes sylvanus,54.25491677,26
Ochlodes sylvanus,53.85199878,31
Ochlodes sylvanus,53.85199878,29
Ochlodes sylvanus,53.84842305,26
Ochlodes sylvanus,53.85199878,26
Ochlodes sylvanus,53.8718907,30
Ochlodes sylvanus,53.87099349,33
Ochlodes sylvanus,53.87189228,28
Ochlodes sylvanus,53.87099349,28
Ochlodes sylvanus,53.87189228,27
Ochlodes sylvanus,53.87588759,29
Ochlodes sylvanus,53.87415991,29
Ochlodes sylvanus,53.87415991,30
Ochlodes sylvanus,53.88340609,29
Ochlodes sylvanus,53.88796649,28
Ochlodes sylvanus,54.07692949,27
Ochlodes sylvanus,53.83884874,31
Ochlodes sylvanus,53.92810164,28
Ochlodes sylvanus,53.92633742,28
Ochlodes sylvanus,53.92543874,28
Ochlodes sylvanus,53.92540562,28
Ochlodes sylvanus,53.91940383,34
Ochlodes sylvanus,53.92301287,34
