Plant Species Name,Insect Species Name,DBIF Source,Interaction Frequency
Abies grandis,Acleris abietana,"Agassiz, D.J.L.(1983) Entomologist's Rec. J. Var. 95 187-195",1
Abies grandis,Cinara (Cinara) confinis,"Carter, C.I. & Maslen, N.R.(1982) Bull. For. Commn, Lond. 58 1-75",1
Abies grandis,Dreyfusia piceae,"Carter, C.I.(1971) Bull. For. Commn, Lond. 42 1-51",1
Abies grandis,Epinotia fraternana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Abies grandis,Epinotia subsequana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Abies grandis,Megastigmus pinus,"Hussey, N.W.(1954) Leafl. For. Commn 8 1-10",1
Abies grandis,Mindarus abietinus,"Stroyan, H.L.G.(1979) Zool. J. Linn. Soc. 65 1-54",1
Abies grandis,Pammene ochsenheimeriana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Abies grandis,Urocerus gigas,"Kirk, A.A.(1974) Entomologist's mon. Mag. 110 215-221",1
Abies nordmanniana,Dreyfusia nordmannianae,"Carter, C.I.(1971) Bull. For. Commn, Lond. 42 1-51",1
Abies nordmanniana,Dreyfusia piceae,"Carter, C.I.(1971) Bull. For. Commn, Lond. 42 1-51",1
Abies procera,Cinara (Cinara) confinis,"Carter, C.I. & Maslen, N.R.(1982) Bull. For. Commn, Lond. 58 1-75",1
Abies procera,Dreyfusia piceae,"Carter, C.I.(1971) Bull. For. Commn, Lond. 42 1-51",1
Abies procera,Megastigmus pinus,"Hussey, N.W.(1954) Leafl. For. Commn 8 1-10",1
Abies procera,Megastigmus pinus,"Boucek, Z.(1970) Entomologist's Gaz. 21:4 265-275",1
Abies procera,Urocerus augur,"Kirk, A.A.(1974) Entomologist's mon. Mag. 110 215-221",1
Abies procera,Urocerus gigas,"Kirk, A.A.(1974) Entomologist's mon. Mag. 110 215-221",1
Acer campestre,Aceria carinifex,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer campestre,Aceria heteronyx,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer campestre,Aceria macrocheluserinea,"Massee, A.M. (1965) Acarina: Eriophyidae  ",1
Acer campestre,Aceria macrorhyncha,"Massee, A.M. (1965) Acarina: Eriophyidae  ",1
Acer campestre,Aceria macrorhyncha,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer campestre,Aceria macrorhyncha,"Niblett, M.(1959) Lond. Nat. 38 51-54",1
Acer campestre,Aceria macrorhyncha,"Niblett, M.(1934) Proc. S. Lond. ent. nat. Hist. Soc.  78-82",1
Acer campestre,Acericerus vittifrons,"Allen, A.A.(1978) Entomologist's Rec. J. Var. 90:4 113-115",1
Acer campestre,Acleris forsskaleana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Acleris sparsana,"Agassiz, D.J.L.(1983) Entomologist's Rec. J. Var. 95 187-195",1
Acer campestre,Acronicta aceris,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer campestre,Acronicta aceris,"Eds. Heath, J. & Emmet, A.M. (1983) The Moths and Butterflies of Great Britain and Ireland 10 1-459",1
Acer campestre,Acronicta aceris,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Acronicta alni,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Alebra wahlbergi,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer campestre,Alebra wahlbergi,"China, W.E.(1943) Trans. Soc. Br. ent. 8:4 111-153",1
Acer campestre,Alebra wahlbergi,"Le Quesne, W.J. & Payne, K.(1981) Handbk Ident. Br. Insects 2:2(C) 9-36",1
Acer campestre,Aleurochiton acerinus,"Dolling, W.R. & Martin, J.H.(1985) Entomologist's mon. Mag. 121 143-144",1
Acer campestre,Alnetoidia alneti,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer campestre,Alosterna tabacicolor,"Duffy, E.A.J. (1953) A monograph of the immature stages of British and imported timber beetles (Cerambycidae)  1-350",1
Acer campestre,Altenia scriptella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Atrichosema aceris,"Barnes, H.F. (1951) Gall midges of economic importance. Trees. 5 1-270",1
Acer campestre,Caloptilia hauderi,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Caloptilia semifascia,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Cecidophyes gymnaspis,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer campestre,Cecidophyes gymnaspis,"Massee, A.M. (1965) Acarina: Eriophyidae  ",1
Acer campestre,Cecidophyes pseudoplatani,"Massee, A.M. (1965) Acarina: Eriophyidae  ",1
Acer campestre,Colocasia coryli,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer campestre,Colocasia coryli,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Contarinia acerplicans,"Bagnall, R.S. & Heslop Harrison, J.W.(1921) Entomologist's Rec. J. Var. 33 166-169",1
Acer campestre,Cyclophora annularia,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Dasineura tympani,"Barnes, H.F. (1951) Gall midges of economic importance. Trees. 5 1-270",1
Acer campestre,Dasineura tympani,"Buhr, H. (1964) Bestimmungstabellen der gallen (zoo-und phytocecidien) an pflanzen Mittel-und NordEuropas 1 1-761",1
Acer campestre,Drepanosiphum aceris,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer campestre,Drepanosiphum dixoni,"Stroyan, H.L.G.(1972) Trans. r. ent. Soc. Lond. 124 37-79",1
Acer campestre,Drepanosiphum dixoni,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer campestre,Ectoedemia louisella,"Emmet, A.M.(1984) Entomologist's Rec. J. Var. 96 22-26",1
Acer campestre,Ectoedemia louisella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Edwardsiana frustrator,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer campestre,Edwardsiana lethierryi,"Le Quesne, W.J. & Payne, K.(1981) Handbk Ident. Br. Insects 2:2(C) 9-36",1
Acer campestre,Edwardsiana lethierryi,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer campestre,Edwardsiana lethierryi,"China, W.E.(1943) Trans. Soc. Br. ent. 8:4 111-153",1
Acer campestre,Epinotia abbreviana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Epirrita christyi,"Harper, M.W.(1980) Proc. and Trans. Br. entomol. and natur. Hist. Soc. 13 106-116",1
Acer campestre,Epirrita dilutata,"Harper, M.W.(1980) Proc. and Trans. Br. entomol. and natur. Hist. Soc. 13 106-116",1
Acer campestre,Eriophyes macrochelus,"Niblett, M.(1959) Lond. Nat. 38 51-54",1
Acer campestre,Eriophyes macrochelus,"Niblett, M.(1934) Proc. S. Lond. ent. nat. Hist. Soc.  78-82",1
Acer campestre,Eriophyes macrochelus,"Macfarlane, D. in eds. Evans, G.O. et al. (1981) The Acari a Practical Manual :VII 1-33",1
Acer campestre,Eriophyes macrochelus,"Massee, A.M. (1965) Acarina: Eriophyidae  ",1
Acer campestre,Eupithecia exiguata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Eupithecia exiguata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer campestre,Eupithecia inturbata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Eupithecia inturbata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer campestre,Eupithecia inturbata,Brit. Ent. and Nat. Hist. Soc. (1981) An identification guide to the British pugs. Lepidoptera Geometridae  1-42,1
Acer campestre,Eupsilia transversa,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer campestre,Eurhadina loewii,"Le Quesne, W.J. & Payne, K.(1981) Handbk Ident. Br. Insects 2:2(C) 9-36",1
Acer campestre,Fagocyba cruenta,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer campestre,Gastrallus immarginatus,"Allen, A.A. (1984) Comments on 1954 edition of Coleopterist's Handbook  ",1
Acer campestre,Heterarthrus aceris,"Benson, R.B.(1952) Handbk Ident. Br. Insects VI:2B 51-137",1
Acer campestre,Hydrelia flammeolaria,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer campestre,Hydrelia flammeolaria,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Neotegonotus fastigatus,"Macfarlane, D. in eds. Evans, G.O. et al. (1981) The Acari a Practical Manual :VII 1-33",1
Acer campestre,Neotegonotus fastigatus,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer campestre,Orthotylus (Orthotylus) prasinus,"Woodroffe, G.E.(1960) Entomologist's mon. Mag. 96 152-152",1
Acer campestre,Pammene trauniana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Periphyllus hirticornis,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer campestre,Periphyllus obscurus,"Stroyan, H.L.G.(1964) Trans. r. ent. Soc. Lond. 116 29-72",1
Acer campestre,Periphyllus obscurus,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer campestre,Periphyllus testudinaceus,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer campestre,Phalera bucephala,"West, B.K.(1982) Entomologist's Rec. J. Var. 94 198-199",1
Acer campestre,Phyllonorycter acerifoliella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Pristiphora (Pristiphora) subbifida,"Benson, R.B.(1958) Handbk Ident. Br. Insects VI:2C 139-252",1
Acer campestre,Psallus (Hylopsallus) assimilis,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Acer campestre,Psallus (Hylopsallus) assimilis,"Aukema, B.(1981) Tijdschr. Entomol. 124 1-25",1
Acer campestre,Psallus (Hylopsallus) assimilis,"Woodroffe, G.E.(1962) Entomologist's mon. Mag. 98 163-163",1
Acer campestre,Ptilinus pectinicornis,"Parkin, E.A.(1933) Bull. Ent. Res. 24 33-68",1
Acer campestre,Ptilodon capucina,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Ptilodon capucina,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer campestre,Ptilodon cucullina,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Ptilophora plumigera,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Ptilophora plumigera,"Heath, J. & Emmet, A.M. (eds) (1979) The Moths and Butterflies of Great Britain and Ireland 9 1-288",1
Acer campestre,Rhinocola aceris,"Hodkinson, I.D. & White, I.M.(1979) Handbk Ident. Br. Insects II:5A 1-98",1
Acer campestre,Shevtchenkella serrata,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer campestre,Stereocorynes truncorum,"Walsh, G.B. & Dibb, J.R.(1954) Amat. Ent. 11 83-98",1
Acer campestre,Stigmella aceris,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Tiliacea aurago,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer campestre,Tiliacea aurago,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer campestre,Tortrix viridana,"Hussey, N.W.(1956) Leafl. For. Commn 10 1-7",1
Acer campestre,Xiphydria longicollis,"Shaw, M.R. & Liston, A.D.(1985) Entomologist's Gaz. 36:3 233-235",1
Acer campestre,Ypsolopha sequella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer campestre,Zeuzera pyrina,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer platanoides,Aleurochiton complanatus,"Martin, J.H.(1977) Entomologist's mon. Mag. 113 7-7",1
Acer platanoides,Drepanosiphum platanoidis,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer platanoides,Ectoedemia sericopeza,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer platanoides,Pammene regiana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer platanoides,Periphyllus lyropictus,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer platanoides,Periphyllus testudinaceus,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer platanoides,Periphyllus xanthomelas,"Stroyan, H.L.G.(1964) Trans. r. ent. Soc. Lond. 116 29-72",1
Acer platanoides,Periphyllus xanthomelas,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer platanoides,Phyllonorycter joannisi,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer platanoides,Rhinocola aceris,"Hodkinson, I.D. & White, I.M.(1979) Handbk Ident. Br. Insects II:5A 1-98",1
Acer platanoides,Stigmella aceris,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer platanoides,Zeuzera pyrina,"Cross, J.V.(1983) Advis. Leafl. Minist. Agric. Fish. Fd. 2368 1-36",1
Acer pseudoplatanus,Acasis viretata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer pseudoplatanus,Aceria macrorhyncha,"Macfarlane, D. in eds. Evans, G.O. et al. (1981) The Acari a Practical Manual :VII 1-33",1
Acer pseudoplatanus,Aceria macrorhyncha,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer pseudoplatanus,Aceria macrorhyncha,"Niblett, M.(1934) Proc. S. Lond. ent. nat. Hist. Soc.  78-82",1
Acer pseudoplatanus,Aceria pseudoplatani,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer pseudoplatanus,Aceria pseudoplatani,"Niblett, M.(1959) Lond. Nat. 38 51-54",1
Acer pseudoplatanus,Acleris forsskaleana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Acleris sparsana,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Acleris sparsana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Acronicta aceris,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer pseudoplatanus,Acronicta aceris,"Eds. Heath, J. & Emmet, A.M. (1983) The Moths and Butterflies of Great Britain and Ireland 10 1-459",1
Acer pseudoplatanus,Acronicta aceris,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Acer pseudoplatanus,Aculops acericola,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Acer pseudoplatanus,Aculops acericola,"Massee, A.M. (1965) Acarina: Eriophyidae  ",1
Acer pseudoplatanus,Agriopis aurantiaria,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Agriopis aurantiaria,"Warrington, S.(1985) Oecologia 67 460-463",1
Acer pseudoplatanus,Alebra wahlbergi,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer pseudoplatanus,Alebra wahlbergi,"Le Quesne, W.J. & Payne, K.(1981) Handbk Ident. Br. Insects 2:2(C) 9-36",1
Acer pseudoplatanus,Aleimma loeflingiana,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Alnetoidia alneti,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer pseudoplatanus,Alsophila aescularia,"Warrington, S.(1985) Oecologia 67 460-463",1
Acer pseudoplatanus,Alsophila aescularia,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Amphipyra pyramidea,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Acer pseudoplatanus,Amphipyra pyramidea,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Calliteara pudibunda,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Caloptilia hemidactylella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Caloptilia rufipennella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Caloptilia semifascia,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Carcina quercana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Carcina quercana,"Robbins, J. (1984-04-02) Leaf miners  ",1
Acer pseudoplatanus,Clytus arietis,"Duffy, E.A.J. (1953) A monograph of the immature stages of British and imported timber beetles (Cerambycidae)  1-350",1
Acer pseudoplatanus,Colotois pennaria,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Conistra vaccinii,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Contarinia acerplicans,"Bagnall, R.S. & Heslop Harrison, J.W.(1921) Entomologist's Rec. J. Var. 33 166-169",1
Acer pseudoplatanus,Cosmia trapezina,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Drepanosiphum acerinum,"Stroyan, H.L.G.(1955) Trans. r. ent. Soc. Lond. 106 283-340",1
Acer pseudoplatanus,Drepanosiphum acerinum,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer pseudoplatanus,Drepanosiphum platanoidis,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 787-796",1
Acer pseudoplatanus,Drepanosiphum platanoidis,"Stroyan, H.L.G.(1977) Handbk Ident. Br. Insects II:4(A) 1-130",1
Acer pseudoplatanus,Drisina glutinosa,"Bagnall, R.S. & Heslop Harrison, J.W.(1921) Entomologist's Rec. J. Var. 33 166-169",2
Acer pseudoplatanus,Ectoedemia decentella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Edwardsiana frustrator,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer pseudoplatanus,Edwardsiana nigriloba,"China, W.E.(1943) Trans. Soc. Br. ent. 8:4 111-153",1
Acer pseudoplatanus,Edwardsiana nigriloba,"Le Quesne, W.J. & Payne, K.(1981) Handbk Ident. Br. Insects 2:2(C) 9-36",1
Acer pseudoplatanus,Edwardsiana nigriloba,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer pseudoplatanus,Epirrita christyi,"Harper, M.W.(1980) Proc. and Trans. Br. entomol. and natur. Hist. Soc. 13 106-116",1
Acer pseudoplatanus,Epirrita dilutata,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Epirrita dilutata,"Harper, M.W.(1980) Proc. and Trans. Br. entomol. and natur. Hist. Soc. 13 106-116",1
Acer pseudoplatanus,Erannis defoliaria,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Erannis defoliaria,"Warrington, S.(1985) Oecologia 67 460-463",1
Acer pseudoplatanus,Eriophyes macrochelus,"Niblett, M.(1934) Proc. S. Lond. ent. nat. Hist. Soc.  78-82",1
Acer pseudoplatanus,Eurhadina loewii,"Le Quesne, W.J. & Payne, K.(1981) Handbk Ident. Br. Insects 2:2(C) 9-36",1
Acer pseudoplatanus,Eurhadina loewii,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer pseudoplatanus,Fagocyba cruenta,"Le Quesne, W.J. & Payne, K.(1981) Handbk Ident. Br. Insects 2:2(C) 9-36",1
Acer pseudoplatanus,Fagocyba cruenta,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer pseudoplatanus,Grammoptera ruficornis,"Duffy, E.A.J. (1953) A monograph of the immature stages of British and imported timber beetles (Cerambycidae)  1-350",1
Acer pseudoplatanus,Heterarthrus aceris,"Liston, A.(1984) Entomologist's Gaz. 35:1 177-180",1
Acer pseudoplatanus,Heterarthrus aceris,"Liston, A.D.(1980) Naturalist, Hull 105 51-54",1
Acer pseudoplatanus,Heterarthrus aceris,"Benson, R.B.(1952) Handbk Ident. Br. Insects VI:2B 51-137",1
Acer pseudoplatanus,Ischnomera sanguinicollis,"Speight, M.(1985) Ir. Nat. J. 21:11 488-490",1
Acer pseudoplatanus,Jodis lactearia,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Lyctus brunneus,"Van Emden, F.I.(1943) Entomologist's mon. Mag. 79 259-270",1
Acer pseudoplatanus,Melanotus villosus,"Speight, M.(1985) Ir. Nat. J. 21:11 488-490",1
Acer pseudoplatanus,Noctua fimbriata,"Heath, J. & Emmet, A.M. (eds) (1979) The Moths and Butterflies of Great Britain and Ireland 9 1-288",1
Acer pseudoplatanus,Operophtera brumata,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Operophtera brumata,"Warrington, S.(1985) Oecologia 67 460-463",1
Acer pseudoplatanus,Orthosia cerasi,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
Acer pseudoplatanus,Orthotylus (Orthotylus) flavinervis,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Acer pseudoplatanus,Ossiannilssonola callosa,"China, W.E.(1943) Trans. Soc. Br. ent. 8:4 111-153",1
Acer pseudoplatanus,Ossiannilssonola callosa,"Le Quesne, W.J. & Payne, K.(1981) Handbk Ident. Br. Insects 2:2(C) 9-36",1
Acer pseudoplatanus,Ossiannilssonola callosa,"Whittaker, J.B.(1984) J. Ecol. 72 455-462",1
Acer pseudoplatanus,Ossiannilssonola callosa,"Claridge, M.F. & Wilson, M.R.(1981) Ecol. Entomol. 6 217-238",1
Acer pseudoplatanus,Pammene aurita,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Pammene regiana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Acer pseudoplatanus,Pandemis cerasana,"Warrington, S. & Whittaker, J.B.(1985) J. appl. Ecol. 22:3 775-785",1
