"SPECIES","YEAR","NSITES","TR0OBS","TRMOBS","TR0SE","TIME_PERIOD","COUNTRY","SITES"
13,1979,9,2.06,2.09,0.0838,"1976-2021","England","All"
13,1980,9,1.93,1.95,0.0872,"1976-2021","England","All"
13,1981,10,1.68,1.71,0.103,"1976-2021","England","All"
13,1982,11,1.99,2.02,0.0811,"1976-2021","England","All"
13,1983,11,1.89,1.92,0.0823,"1976-2021","England","All"
13,1984,12,2.12,2.15,0.0786,"1976-2021","England","All"
13,1985,12,1.88,1.91,0.0852,"1976-2021","England","All"
13,1986,12,2.13,2.16,0.0791,"1976-2021","England","All"
13,1987,13,2.47,2.5,0.0754,"1976-2021","England","All"
13,1988,16,2.36,2.38,0.0757,"1976-2021","England","All"
13,1989,17,2.27,2.3,0.0756,"1976-2021","England","All"
13,1990,20,2.13,2.16,0.0752,"1976-2021","England","All"
13,1991,25,1.85,1.88,0.074,"1976-2021","England","All"
13,1992,32,2.6,2.63,0.0733,"1976-2021","England","All"
13,1993,35,2.24,2.27,0.0735,"1976-2021","England","All"
13,1994,46,2.5,2.53,0.0733,"1976-2021","England","All"
13,1995,42,2.78,2.81,0.0732,"1976-2021","England","All"
13,1996,56,2.36,2.39,0.0733,"1976-2021","England","All"
13,1997,60,2.38,2.41,0.0733,"1976-2021","England","All"
13,1998,50,1.91,1.94,0.0736,"1976-2021","England","All"
13,1999,60,2,2.03,0.0736,"1976-2021","England","All"
13,2000,54,1.8,1.83,0.0736,"1976-2021","England","All"
13,2001,34,2.13,2.16,0.0742,"1976-2021","England","All"
13,2002,75,1.63,1.66,0.0735,"1976-2021","England","All"
13,2003,78,1.92,1.95,0.0733,"1976-2021","England","All"
13,2004,63,2.18,2.21,0.0733,"1976-2021","England","All"
13,2005,65,1.76,1.78,0.0736,"1976-2021","England","All"
13,2006,70,1.75,1.78,0.0734,"1976-2021","England","All"
13,2007,67,1.72,1.75,0.0735,"1976-2021","England","All"
13,2008,72,1.5,1.53,0.0736,"1976-2021","England","All"
13,2009,70,1.61,1.64,0.0735,"1976-2021","England","All"
13,2010,66,1.52,1.55,0.0736,"1976-2021","England","All"
13,2011,63,1.51,1.54,0.0736,"1976-2021","England","All"
13,2012,58,1.27,1.3,0.074,"1976-2021","England","All"
13,2013,64,1.62,1.65,0.0736,"1976-2021","England","All"
13,2014,68,2.06,2.09,0.0733,"1976-2021","England","All"
13,2015,70,1.83,1.86,0.0734,"1976-2021","England","All"
13,2016,62,1.82,1.85,0.0734,"1976-2021","England","All"
13,2017,58,1.89,1.92,0.0734,"1976-2021","England","All"
